genre,movie_count
"Drama,Romance",65
Drama,38
"Comedy,Drama,Romance",23
Comedy,18
"Comedy,Drama",17
"Comedy,Romance",15
"Crime,Drama,Romance",15
"Crime,Drama",13
"Drama,War",9
"Adventure,Drama,Romance",8
"Comedy,Musical,Romance",8
"Crime,Drama,Film-Noir",8
"Crime,Drama,Mystery",8
"Drama,Fantasy,Horror",8
"Drama,Romance,War",8
"Biography,Drama,History",6
Documentary,6
"Action,Adventure,Comedy",5
"Action,Adventure,Drama",5
"Comedy,Crime,Drama",5
"Comedy,Drama,Family",5
"Action,Comedy,Romance",4
"Adventure,Comedy,Drama",4
"Comedy,Family,Musical",4
"Comedy,Musical",4
"Crime,Drama,Horror",4
"Crime,Mystery,Thriller",4
"Drama,History",4
"Drama,History,Romance",4
"Drama,Horror,Romance",4
"Fantasy,Horror",4
"Action,Drama,Romance",3
"Adventure,Comedy,Family",3
"Adventure,Drama,Fantasy",3
"Comedy,Drama,Musical",3
"Comedy,Family,Romance",3
"Drama,Horror",3
"Drama,Musical,Romance",3
"Drama,Romance,Sport",3
"Drama,Romance,Western",3
"Drama,Thriller",3
"Drama,Western",3
"Horror,Mystery,Thriller",3
"Action,Crime,Drama",2
"Adventure,Comedy,Romance",2
"Adventure,Crime,Drama",2
"Adventure,Drama,History",2
"Adventure,Family,Fantasy",2
"Comedy,Fantasy,Romance",2
"Comedy,Horror,Mystery",2
"Comedy,Romance,Sport",2
"Comedy,Western",2
"Crime,Drama,Music",2
"Crime,Drama,Thriller",2
"Crime,Horror,Mystery",2
"Drama,Fantasy",2
"Drama,Horror,Mystery",2
"Drama,Horror,Sci-Fi",2
"Drama,Music,Romance",2
"Drama,Musical",2
"Drama,Mystery,Romance",2
"Drama,Romance,Thriller",2
"Action,Adventure",1
"Action,Adventure,Biography",1
"Action,Adventure,Crime",1
"Action,Adventure,Family",1
"Action,Adventure,Horror",1
"Action,Adventure,Sci-Fi",1
"Action,Comedy,Drama",1
"Action,Comedy,Family",1
"Action,Crime,Romance",1
"Action,Drama,Mystery",1
"Action,Drama,Sport",1
"Action,Drama,War",1
Adventure,1
"Adventure,Animation,Comedy",1
"Adventure,Animation,Drama",1
"Adventure,Crime",1
"Adventure,Documentary,Drama",1
"Adventure,Drama",1
"Adventure,Drama,Film-Noir",1
"Adventure,Drama,Horror",1
"Adventure,Drama,Thriller",1
"Adventure,Drama,Western",1
"Adventure,Family,Romance",1
"Adventure,Fantasy,Horror",1
"Adventure,Romance",1
"Animation,Comedy,Musical",1
"Biography,Crime,Drama",1
"Biography,Drama,Family",1
"Biography,Drama,Romance",1
"Biography,Drama,War",1
"Comedy,Crime,Horror",1
"Comedy,Crime,Romance",1
"Comedy,Drama,Horror",1
"Comedy,Drama,Mystery",1
"Comedy,Drama,Sport",1
"Comedy,Family",1
"Comedy,Music",1
"Comedy,Romance,Thriller",1
"Comedy,Sci-Fi",1
"Comedy,Sport",1
"Comedy,War",1
"Crime,Drama,History",1
"Crime,Mystery,Romance",1
"Documentary,Fantasy,Horror",1
"Drama,Family,Fantasy",1
"Drama,Family,Sport",1
"Drama,Fantasy,Mystery",1
"Drama,History,Thriller",1
"Drama,Horror,Thriller",1
"Drama,Horror,War",1
"Drama,Music,Musical",1
"Drama,Musical,Mystery",1
"Drama,Mystery",1
"Drama,Mystery,Thriller",1
"Drama,Sci-Fi",1
"Drama,Thriller,Western",1
"Family,Fantasy",1
Fantasy,1
"Fantasy,Horror,Romance",1
Horror,1
"Horror,Music",1
"Horror,Mystery",1
"Horror,Sci-Fi",1
"Romance,Thriller",1
